Number;Checked;ColorTag;MediaLabel;MediaType;Source;Date;Borrower;DateWatched;UserRating;Rating;OriginalTitle;TranslatedTitle;FormattedTitle;Director;Producer;Writer;Composer;Actors;Country;Year;Length;Category;Certification;URL;Description;Comments;FilePath;VideoFormat;VideoBitrate;AudioFormat;AudioBitrate;Resolution;Framerate;Languages;Subtitles;Size;Disks;PictureStatus;NbExtras;ENumber;EChecked;ETag;ETitle;ECategory;EURL;EDescription;EComments;ECreatedBy;EPictureStatus;Picture
"1";"True";"0";"";"";"";"2026-07-10";"";"";"";"";"2:22";"2:22";"2:22";"Paul Currie";"Bill Mechanic, Steve Hutensky, Todd Stein, David Whealy, Garrett Kelleher, Jackie O'Sullivan";"Nathan Parker, Todd Stein";"Lisa Gerrard, James Orr";"Teresa Palmer, Michiel Huisman, Sam Reid, Maeve Dermody, Remy Hii, John Waters, Simone Kessell, Kerry Armstrong";"U.S.A., Australie";"2017";"99";"Action, Romance, Thriller";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=193420.html";"Après avoir évité de justesse un crash aérien à 2h22, Dylan, un contrôleur aérien à la vie jusqu’alors bien réglée, voit son quotidien perturbé par une série de coïncidences étranges qui le conduisent inéluctablement au hall de la gare de Grand Central, à 2h22. Dylan est persuadé que son destin et celui de Sarah – une jeune femme dont il vient de tomber amoureux – sont liés, et que ces événements répétés sont en fait des signes prémonitoires. A eux de percer le mystère du temps.";"Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19577174";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_1.jpg"
"2";"True";"0";"";"";"";"2026-07-10";"";"";"";"5.6";"5 è il numero perfetto";"5 est le numéro parfait";"5 est le numéro parfait";"Igor Tuveri";"Elda Ferri, Marina Marzotto, Mattia Oddone, Mauro Calevi, Gabriele Oricchio, Paolo Del Brocco, Raphael Berdugo, Antoine De Clermont-Tonnerre, Peter De Maegd, Jan Hameeuw, Tom Hameeuw, Gabriele Pacitto";"Igor Tuveri";"";"Toni Servillo, Valeria Golino, Carlo Buccirosso, Iaia Forte, Giovanni Ludeno, Valentina Curatoli, Lorenzo Lancellotti, Vincenzo Nemolato";"Italie, Belgique, France";"2019";"106";"Drame, Policier, Thriller";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=275129.html";"Peppino Lo Cicero, ex-tueur à gages de la Camorra est fier de son fils qui gravit les échelons du crime organisé. Mais quand celui-ci est froidement tué dans un guet-apens, il reprend du service accompagné de son ami Toto le boucher. Leur quête de vérité va déclencher une spirale de vengeances et de trahisons dans les clans mafieux du Naples des années 70.";"Date de sortie : 23 octobre 2019

Note de la presse : 2,8/5
Note des spectateurs : 2,8/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19584820";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_2.jpg"
"3";"True";"0";"";"";"";"2026-07-10";"";"";"";"7.6";"The Seven Year Itch";"7 ans de réflexion";"7 ans de réflexion";"Billy Wilder";"Charles K. Feldman, Billy Wilder, Doane Harrison";"Billy Wilder, George Axelrod";"Alfred Newman";"Marilyn Monroe, Oscar Homolka, Robert Strauss, Carolyn Jones, Tom Ewell, Evelyn Keyes, Sony Tufts, Marguerite Chapman";"U.S.A.";"1955";"105";"Comédie";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=889.html";"Richard Sherman, un publiciste, vient de déposer à la gare sa femme et ses enfants. Il prévoit de rester seul pour les vacances d'été dans son appartement new-yorkais. Après sept ans de mariage, il fantasme allègrement sur les filles qu'il rêve de séduire. Sa solitude va vite être troublée par sa charmante voisine blonde du dessus. Il ne tarde pas à l'inviter chez lui pour prendre un verre.";"Date de sortie : 29 février 1956

Note des spectateurs : 3,8/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19434275";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_3.jpg"
"4";"True";"0";"";"";"";"2026-07-10";"";"";"";"";"7 Seconds";"7 secondes (V)";"7 secondes (V)";"Simon Fellows";"Donald Kushner, Vlad Paunescu, Andrew Stevens, Pierre Spengler";"Martin Wheeler";"Neal Acree";"Wesley Snipes, Tamzin Outhwaite, Martin Wheeler, Georgina Rylance, Serge Soric, Tamer Hassan";"Grande-Bretagne, Roumanie, Suisse, U.S.A.";"2005";"101";"Action, Comédie, Policier, Thriller";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=57758.html";"Un expert du cambriolage dérobe sans le savoir une toile de Van Gogh et tente de sauver son partenaire pris en otage par des gangsters à la recherche de la fameuse toile.";"Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19440000";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_4.jpg"
"5";"True";"0";"";"";"";"2026-07-10";"";"";"";"";"20,000 Leagues Under the Sea";"20.000 lieues sous les mers";"20.000 lieues sous les mers";"Richard Fleischer";"Walt Disney";"Earl Felton";"Paul J. Smith";"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke, Ted de Corsia, Carleton Young, J.M. Kerrigan";"U.S.A.";"1954";"127";"Aventure";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=5040.html";"En 1868, un monstre mystérieux s'acharne sur les bateaux naviguant dans l'océan Pacifique. Alarmé par ce phénomène, le gouvernement américain arme une frégate. Ned, un fabuleux harponneur, Aronnax, un homme de science et son assistant partent à la recherche du supposé monstre marin...";"Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19383647";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_5.jpg"
"6";"True";"0";"";"";"";"2026-07-10";"";"";"";"6.9";"28 Weeks Later";"28 semaines plus tard";"28 semaines plus tard";"Juan Carlos Fresnadillo";"Allon Reich, Enrique López Lavigne, Andrew MacDonald, Bernard Bellew, Danny Boyle, Alex Garland";"Rowan Joffe, Juan Carlos Fresnadillo, Enrique López Lavigne, Jesus Olmo";"John Murphy";"Robert Carlyle, Rose Byrne, Harold Perrineau, Jeremy Renner, Catherine McCormack, Idris Elba, Mackintosh Muggleton, Imogen Poots";"Grande-Bretagne, Espagne";"2007";"100";"Epouvante-horreur, Science Fiction, Thriller";"Interdit - 12 ans";"https://www.allocine.fr/film/fichefilm_gen_cfilm=118343.html";"Il y a six mois, un terrible virus a décimé l'Angleterre et a transformé presque toute la population en monstres sanguinaires. Les forces américaines d'occupation ayant déclaré que l'infection a été définitivement vaincue, la reconstruction du pays peut maintenant commencer. Don a survécu à ces atroces événements, mais il n'a pas réussi à sauver sa femme et la culpabilité le ronge. Lorsqu'il retrouve ses enfants, Andy et Tammy, qu'il n'avait pas revus depuis la catastrophe et qui reviennent à Londres avec la première vague de réfugiés, il leur apprend la mort de leur mère. Partagés entre la joie des retrouvailles et le chagrin, tous trois tentent de se reconstruire et de reprendre une vie normale dans la ville dirigée par l'armée américaine.Pourtant, quelque part, un effroyable secret les attend. Tout n'est pas terminé...";"Date de sortie : 19 septembre 2007

Note de la presse : 3,3/5
Note des spectateurs : 3,6/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=18742096";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_6.jpg"
"7";"True";"0";"";"";"";"2026-07-10";"";"";"";"";"The 355";"355";"355";"Simon Kinberg";"Jessica Chastain, Kelly Carmichael, Simon Kinberg, Richard Hewitt, Esmond Ren, Wang Rui Huan";"Theresa Rebeck, Simon Kinberg";"Junkie XL";"Jessica Chastain, Penélope Cruz, Bingbing Fan, Diane Kruger, Lupita Nyong'o, Édgar Ramírez, Sebastian Stan, Jason Flemyng";"U.S.A.";"2021";"123";"Action, Espionnage, Thriller";"Tout public";"https://www.allocine.fr/film/fichefilm_gen_cfilm=264475.html";"Une arme technologique capable de prendre le contrôle de réseaux informatiques tombe entre de mauvaises mains. Les agences de renseignements du monde entier envoient leurs agentes les plus redoutables là où l’arme destructrice a été localisée : à Paris. Leur mission : empêcher des organisations terroristes ou gouvernementales de s’en emparer pour déclencher un conflit mondial. Les espionnes vont devoir choisir entre se combattre ou s’allier…";"Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19589818";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_7.jpg"
"8";"True";"0";"";"";"";"2026-07-10";"";"";"";"8.7";"2001: A Space Odyssey";"2001 : l'odyssée de l'espace";"2001 : l'odyssée de l'espace";"Stanley Kubrick";"Stanley Kubrick, Victor Lyndon";"Arthur C. Clarke, Stanley Kubrick";"";"Keir Dullea, Gary Lockwood, William Sylvester, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Daniel Richter, Douglas Rain";"U.S.A., Grande-Bretagne";"1968";"141";"Science Fiction";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=27442.html";"A l'aube de l'Humanité, dans le désert africain, une tribu de primates subit les assauts répétés d'une bande rivale, qui lui dispute un point d'eau. La découverte d'un monolithe noir inspire au chef des singes assiégés un geste inédit et décisif. Brandissant un os, il passe à l'attaque et massacre ses adversaires. Le premier instrument est né. En 2001, quatre millions d'années plus tard, un vaisseau spatial évolue en orbite lunaire au rythme langoureux du ""Beau Danube Bleu"". A son bord, le Dr. Heywood Floyd enquête secrètement sur la découverte d'un monolithe noir qui émet d'étranges signaux vers Jupiter. Dix-huit mois plus tard, les astronautes David Bowman et Frank Poole font route vers Jupiter à bord du Discovery. Les deux hommes vaquent sereinement à leurs tâches quotidiennes sous le contrôle de HAL 9000, un ordinateur exceptionnel doué d'intelligence et de parole. Cependant, HAL, sans doute plus humain que ses maîtres, commence à donner des signes d'inquiétude : à quoi rime cette mission et que risque-t-on de découvrir sur Jupiter ?";"Date de sortie : 27 septembre 1968

Note de la presse : 4,6/5
Note des spectateurs : 4,1/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19578220";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_8.jpg"
"9";"True";"0";"";"";"";"2026-07-10";"";"";"";"6.2";"2010";"2010 : L'Année du premier contact";"2010 : L'Année du premier contact";"Peter Hyams";"Peter Hyams, Neil A. Machlis, Jonathan A. Zimbert";"Peter Hyams";"David Shire";"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban, Keir Dullea, Madolyn Smith, Elya Baskin, Herta Ware, Douglas Rain";"U.S.A.";"1984";"116";"Science Fiction";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=38505.html";"Neuf ans se sont écoulés depuis l'incident du vaisseau Discovery, toujours en orbite autour de Jupiter. Pour le professeur Floyd, créateur du super robot HAL 9000, il est temps d'éclaircir ce mystère et ramener Discovery sur Terre. A bord du vaisseau Leonov, américains et soviétiques vont devoir s'unir pour lutter contre la folie de HAL...";"Date de sortie : 3 avril 1985

Note des spectateurs : 3,1/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19408502";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_9.jpg"
"10";"True";"0";"";"";"";"2026-07-10";"";"";"";"2.2";"2033";"2033 : Future Apocalypse";"2033 : Future Apocalypse";"Francisco Laresgoiti";"Yvette Gurza, Francisco Laresgoiti, Mariscal Jordi";"Mariscal Jordi";"Daniel Hidalgo";"Miguel Couturier, Sandra Echeverría, Alonso Echanove, Luis Ernesto Franco, Claudio Lafarga, Raúl Méndez, Marco Antonio Treviño, Aarón I. Campos";"Mexique";"2009";"93";"Aventure, Science Fiction";"";"https://www.allocine.fr/film/fichefilm_gen_cfilm=205100.html";"En 2033, Mexico est devenue une cité tentaculaire, régie par un gouvernement totalitaire. La société est désormais divisée en castes. Pablo appartient à l'élite : jeune financier sans scrupules, il profite du système et s'adonne sans compter aux plaisirs et à la drogue. Mais le jour où il rencontre Lucia, sa vie bascule : cette jeune scientifique est en réalité membre de la Rébellion. Elle va lui ouvrir les yeux sur les intentions véritables du pouvoir en place...";"Date de sortie : 2 mai 2012

Note des spectateurs : 1,1/5 

Bande Annonce : https://www.allocine.fr/_video/iblogvision.aspx?cmedia=19336115";"";"";"";"";"";"";"";"";"";"";"";"1 - Image stockée dans le catalogue";"0";"";"";"";"";"";"";"";"";"";"";"movies.csv_pics\movies_10.jpg"
